"Reactions when adding Coenzyme A, NAD(P),  and FAD coenzyme functionality",
"ID","RXN FORMULA"
"R00005","2 CO2 + 2 Ammonia <=>  H2O +  Urea-1-carboxylate"
"R00006","2 Pyruvate <=>  CO2 +  2-Acetolactate"
"R00008","2 Pyruvate <=>  Parapyruvate"
"R00010","2 D-Glucose <=>  H2O +  alpha,alpha-Trehalose"
"R00013"," CO2 +  2-Hydroxy-3-oxopropanoate <=> 2 Glyoxylate"
"R00015"," D-Glucose +  1F-beta-D-Fructosylsucrose <=> 2 Sucrose"
"R00018"," Ammonia +  sym-Homospermidine <=> 2 Putrescine"
"R00023","2 H+ +  Hyponitrite <=> 2 Hydroxylamine"
"R00026","2 beta-D-Glucose <=>  H2O +  Cellobiose"
"R00028","2 alpha-D-Glucose <=>  H2O +  Maltose"
"R00036","2 H2O +  Porphobilinogen <=> 2 5-Aminolevulinate"
"R00038"," 4-Hydroxyhexan-3-one <=> 2 Propanal"
"R00039"," Sucrose +  Lychnose <=> 2 Raffinose"
"R00048","2 (R)-3-Hydroxybutanoate <=>  H2O +  (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate"
"R00084","4 Ammonia +  Hydroxymethylbilane <=>  H2O + 4 Porphobilinogen"
"R00090","2 H2O <=>  Hydrogen peroxide +  H+"
"R00091"," H+ +  CoA-disulfide <=> 2 CoA"
"R00093"," 2-Oxoglutarate +  L-Glutamine +  H+ <=> 2 L-Glutamate"
"R00094"," H+ +  Glutathione disulfide <=> 2 Glutathione"
"R00095"," H+ + 2 Monodehydroascorbate <=> 2 Ascorbate"
"R00131"," CO2 + 2 Ammonia <=>  H2O +  Urea"
"R00132"," H2O +  CO2 <=>  Carbonic acid"
"R00143"," H+ +  Hydroxylamine <=>  H2O +  Ammonia"
"R00152"," Ammonia +  Formate <=> 2 H2O +  Hydrogen cyanide"
"R00195","2 Ammonia +  Pyruvate <=>  H2O +  2,3-Diaminopropanoate"
"R00203"," Pyruvate +  H+ <=>  H2O +  Methylglyoxal"
"R00209"," CO2 +  Acetyl-CoA +  H+ <=>  CoA +  Pyruvate"
"R00212"," CoA +  Pyruvate <=>  Acetyl-CoA +  Formate"
"R00213"," CO2 + 2 Ammonia +  Pyruvate <=>  H2O +  O-Carbamoyl-L-serine"
"R00214"," CO2 +  Pyruvate +  H+ <=>  (S)-Malate"
"R00215"," CO2 +  Pyruvate +  H+ <=>  (R)-Malate"
"R00217"," CO2 +  Pyruvate <=>  Oxaloacetate"
"R00218"," CO2 +  Pyruvate <=>  H2O +  Acetylenedicarboxylate"
"R00219"," 2-Hydroxyethylenedicarboxylate <=>  CO2 +  Pyruvate"
"R00220"," Ammonia +  Pyruvate <=>  L-Serine"
"R00221"," Ammonia +  Pyruvate <=>  D-Serine"
"R00223"," Ammonia +  Pyruvate <=>  Serine"
"R00224"," CO2 +  Acetaldehyde <=>  Pyruvate"
"R00226","2 Pyruvate <=>  CO2 +  (S)-2-Acetolactate"
"R00227"," CoA +  Acetate <=>  H2O +  Acetyl-CoA"
"R00228"," Acetyl-CoA +  H+ <=>  CoA +  Acetaldehyde"
"R00233"," CO2 +  Acetyl-CoA <=>  Malonyl-CoA"
"R00237"," Pyruvate +  Acetyl-CoA <=>  (3S)-Citramalyl-CoA"
"R00238"," CoA +  Acetoacetyl-CoA <=> 2 Acetyl-CoA"
"R00243"," Ammonia +  2-Oxoglutarate +  H+ <=>  H2O +  L-Glutamate"
"R00245"," L-Glutamate +  H+ <=>  H2O +  L-Glutamate 5-semialdehyde"
"R00254"," H2O +  N-Carbamyl-L-glutamate <=>  CO2 +  Ammonia +  L-Glutamate"
"R00256"," Ammonia +  L-Glutamate <=>  H2O +  L-Glutamine"
"R00258"," Pyruvate +  L-Glutamate <=>  2-Oxoglutarate +  L-Alanine"
"R00259"," CoA +  N-Acetyl-L-glutamate <=>  Acetyl-CoA +  L-Glutamate"
"R00260"," D-Glutamate <=>  L-Glutamate"
"R00261"," CO2 +  4-Aminobutanoate <=>  L-Glutamate"
"R00262"," L-Glutamate <=>  L-threo-3-Methylaspartate"
"R00268"," CO2 +  2-Oxoglutarate <=>  Oxalosuccinate"
"R00269"," Ammonia +  2-Oxoglutarate <=>  H2O +  2-Oxoglutaramate"
"R00270"," H2O +  4-Oxoglutaramate <=>  Ammonia +  2-Oxoglutarate"
"R00271"," CoA +  (R)-2-Hydroxybutane-1,2,4-tricarboxylate <=>  H2O +  Acetyl-CoA +  2-Oxoglutarate"
"R00272"," CO2 +  Succinate semialdehyde <=>  2-Oxoglutarate"
"R00274","2 H2O +  Glutathione disulfide <=>  Hydrogen peroxide + 2 Glutathione"
"R00300"," H+ +  D-Glucono-1,5-lactone <=>  D-Glucose"
"R00306","2 D-Glucose <=>  H2O +  Cellobiose"
"R00307"," D-Fructose <=>  D-Glucose"
"R00321"," Ammonia +  Acetate <=>  H2O +  Acetamide"
"R00324"," Pyruvate +  Acetate <=>  H2O +  Acetylpyruvate"
"R00325"," Pyruvate +  Acetate <=>  (S)-2-Methylmalate"
"R00327"," D-Glucose +  Acetate <=>  H2O +  6-Acetyl-D-glucose"
"R00338"," Acetate +  Oxalate <=>  H2O +  Oxaloacetate"
"R00339"," H2O +  Oxaloacetate <=>  (R,R)-Tartaric acid"
"R00340"," H2O +  Oxaloacetate <=>  (S,S)-Tartaric acid"
"R00342"," Oxaloacetate +  H+ <=>  (S)-Malate"
"R00347"," Ammonia +  Oxaloacetate <=>  erythro-3-Hydroxy-Ls-aspartate"
"R00348"," Ammonia +  Oxaloacetate <=>  H2O +  2-Oxosuccinamate"
"R00350"," Pyruvate +  Oxaloacetate <=>  4-Carboxy-4-hydroxy-2-oxoadipate"
"R00351"," H2O +  Acetyl-CoA +  Oxaloacetate <=>  CoA +  Citrate"
"R00353"," Acetyl-CoA +  Oxaloacetate <=>  Pyruvate +  Malonyl-CoA"
"R00354"," Acetyl-CoA +  Oxaloacetate <=>  (3S)-Citryl-CoA"
"R00355"," L-Glutamate +  Oxaloacetate <=>  2-Oxoglutarate +  L-Aspartate"
"R00362"," Acetate +  Oxaloacetate <=>  Citrate"
"R00363"," 2-Hydroxyethylenedicarboxylate <=>  Oxaloacetate"
"R00365"," Ammonia +  Glyoxylate +  H+ <=>  H2O +  Glycine"
"R00368"," Pyruvate +  Glycine +  H+ <=>  H2O +  N-(Carboxymethyl)-D-alanine"
"R00369"," Pyruvate +  Glycine <=>  L-Alanine +  Glyoxylate"
"R00371"," CoA +  L-2-Amino-3-oxobutanoic acid <=>  Acetyl-CoA +  Glycine"
"R00372"," L-Glutamate +  Glyoxylate <=>  2-Oxoglutarate +  Glycine"
"R00373"," Glyoxylate +  L-Aspartate <=>  Oxaloacetate +  Glycine"
"R00396"," Ammonia +  Pyruvate +  H+ <=>  H2O +  L-Alanine"
"R00397"," CO2 +  L-Alanine <=>  L-Aspartate"
"R00398"," Pyruvate +  L-Alanine +  H+ <=>  H2O +  Alanopine"
"R00399"," CoA +  2-Amino-4-oxopentanoic acid <=>  Acetyl-CoA +  D-Alanine"
"R00400"," Pyruvate +  L-Aspartate <=>  Oxaloacetate +  L-Alanine"
"R00401"," D-Alanine <=>  L-Alanine"
"R00402"," H+ +  Fumarate <=>  Succinate"
"R00406"," Succinate +  L-Malyl-CoA <=>  Succinyl-CoA +  (S)-Malate"
"R00407"," CoA +  Succinate <=>  H2O +  Succinyl-CoA"
"R00408"," Fumarate <=>  Succinate"
"R00409"," Pyruvate +  Succinate <=>  (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate"
"R00410"," Succinate +  Acetoacetyl-CoA <=>  Succinyl-CoA +  Acetoacetate"
"R00411"," L-Glutamate +  Succinate <=>  H2O +  N-Succinyl-L-glutamate"
"R00445"," Ammonia +  H+ +  delta1-Piperideine-2-carboxylate <=>  L-Lysine"
"R00446"," Ammonia +  H+ +  L-2-Aminoadipate 6-semialdehyde <=>  H2O +  L-Lysine"
"R00451"," CO2 +  L-Lysine <=>  meso-2,6-Diaminoheptanedioate"
"R00453"," L-Alanine +  L-2-Aminoadipate 6-semialdehyde <=>  Pyruvate +  L-Lysine"
"R00454"," CoA +  N6-Acetyl-L-lysine <=>  Acetyl-CoA +  L-Lysine"
"R00457"," L-Glutamate +  L-2-Aminoadipate 6-semialdehyde <=>  2-Oxoglutarate +  L-Lysine"
"R00458"," Acetate +  L-Lysine <=>  H2O +  N6-Acetyl-L-lysine"
"R00460"," D-Lysine <=>  L-Lysine"
